"se_MLE_beta1" "se_MLE_beta2" "se_MLE_beta3" "se_MLE_sigma" "se_MLE_xi" "se_MLE_delta"
0.110412381018794 0.144816990010431 0.0674736723718283 0.0912620936446993 0.106174737562488 0.149113544761719
0.0681488528551431 0.101486983010497 0.06365635013642 0.071014493482438 0.110747141059801 0.187968951474003
0.104717911672289 0.122328748787241 0.0786584942993362 0.0963809952558667 0.140093590318609 0.217126136943417
0.083863243661122 0.122296932025522 0.0696189534197676 0.0759413660168996 0.117248557768086 0.225692822794429
0.051007926737811 0.0885816226508466 0.0760230542071228 0.0700276148754105 0.099735814927421 0.111586877778732
0.0684638113892127 0.0823454248483549 0.0489887539616778 0.0921757161762068 0.180630267364092 0.290465108453765
0.071048064191514 0.102261884837651 0.0620604497537644 0.0671903316811343 0.104474273597401 0.226983858965091
0.0616651543396376 0.114607521117798 0.0852323254507882 0.0692653061555245 0.102854853814343 0.178060701643763
0.0853263865870457 0.11632472312351 0.0705946597838256 0.0810088190734708 0.0946302303625431 0.188453497514017
0.0694183423795012 0.105698050090741 0.0698551256230725 0.0768328673646152 0.107910508383742 0.204963576509163
0.0890798809140161 0.12868859375231 0.0800843436943203 0.0845161468931218 0.105534140509793 0.173338345562496
0.0593658796726357 0.0997131063359943 0.0461637833540743 0.0748497071408611 0.115243057336941 0.180245948297161
0.049719919431868 0.0796376322171252 0.0611946303650741 0.0649880953205479 0.0863270475388689 0.144072359579397
0.0953871383172725 0.102955398548923 0.0700127641885762 0.0937152001383373 0.086788740672132 0.178063558051191
0.0759938685971049 0.107146453417751 0.0679074717422726 0.0946385389328765 0.105440066337996 0.232877885385212
0.0952126944818034 0.132418948424516 0.0702165593250624 0.0791182989136279 0.114915537920939 0.168429754206934
0.0945122383730416 0.125502211501157 0.0702636062300995 0.0811948581835253 0.112405750572246 0.166087861764519
0.0819580898805299 0.0890212423149639 0.0710286121839373 0.108119886346294 0.130348080577663 0.244103251840439
0.095941694981409 0.144389793899056 0.0587494745495306 0.094398961535362 0.116773173384178 0.213023815283214
0.0937253762158041 0.177432965537428 0.0616254254798851 0.0822114778854512 0.0709111306655752 0.13024366557446
0.0560437882485129 0.0785880031898759 0.0831516217821372 0.0767632378128709 0.0984898961215226 0.15221073560637
0.0890268318026607 0.116050767380092 0.0568884519476827 0.0896176647848017 0.112630560407077 0.199740966413293
0.0672486713192359 0.129987028100326 0.0739132231480006 0.0971844568171027 0.0856922624268397 0.17505856334113
0.0864763763462022 0.102482859552183 0.0746212150199451 0.0885747170142789 0.0900545109754309 0.165597431821472
0.0858056873027535 0.128772422974379 0.0720953225013276 0.0776665411571932 0.0925586199709836 0.175944430385285
