"se_MLE_beta1" "se_MLE_beta2" "se_MLE_beta3" "se_MLE_sigma" "se_MLE_xi" "se_MLE_delta"
0.0724487310843882 0.0857722923539651 0.0759778621011869 0.0693729961870775 0.0884279271812202 0.237813065090616
0.0832544985978994 0.0799146357865752 0.0925560577073228 0.0934651227739023 0.0656679963552248 0.19305145315941
0.111859246296297 0.110095475704884 0.116939562859651 0.0885325696006638 0.102943197193647 0.204293266852992
0.0713321854455407 0.0936266263838438 0.0810935852247918 0.0938687448694231 0.0939672570812586 0.222652870519693
0.0923507672646332 0.107911097969022 0.124329493569749 0.0780277621902344 0.0835329605715339 0.214949705850986
0.0662235037028786 0.0892247003379881 0.0772585334680463 0.155288664323796 0.117717600772343 0.206269164240622
0.0800640788581815 0.0877549648897313 0.0937292219012985 0.0792199257563216 0.082150879395763 0.192137691623238
0.0673084800144033 0.0818102930250164 0.0872126746743316 0.0982197681112977 0.106367460339828 0.209000668782267
0.0823424750550209 0.100647992066793 0.115679271521135 0.0814790695336062 0.0954895248127868 0.197692083030235
0.0538276597908013 0.0565378164437436 0.0850432945335332 0.0729206412378306 0.0780759354485144 0.179919452326153
0.0808026020853123 0.0870865884677211 0.0928532761032382 0.0832187719570054 0.0915973542665213 0.220172226542362
0.0911358191713078 0.113330254493737 0.1368609793655 0.0722004470273162 0.0943730675196089 0.179791322811348
0.0688226259191601 0.098330666890813 0.100862097444029 0.0977832119279673 0.0903224365492769 0.203468561409483
0.0966953876990755 0.102412735011833 0.0806517719810056 0.0899137861958607 0.101380184332176 0.21106368340887
0.0778318717302024 0.0901701512171973 0.0447940297200132 0.0670394542650837 0.0638230924344845 0.176025684639503
0.0718395908981647 0.0642348753964021 0.0567587935964759 0.0929333102268257 0.077493394532771 0.186707615008036
0.0636407413132297 0.0633816238810357 0.0858302777128674 0.0885879754086496 0.0853676693428364 0.196430103155781
0.105485581278873 0.12478111413472 0.133266156577556 0.0769722642148458 0.0811759716101889 0.14530647310853
0.0685600713987688 0.0811004454885425 0.0833586975720304 0.0832557694622508 0.0742728273041656 0.211951748114117
0.0730358623401176 0.0890212244062318 0.0731705595809802 0.0903412715669215 0.0724133898482223 0.168840677713527
0.0712685017906669 0.0784063666276279 0.0808946932230889 0.0824523040305831 0.0960635635951669 0.196629437170354
0.0553520303390205 0.0403349376567673 0.0462568476092609 0.0799280190842427 0.0807523467855565 0.160458742070239
0.10521504165872 0.0984775413525639 0.0887962549460193 0.0782593307510655 0.0898534483456482 0.185401206918396
0.0518188992196513 0.0691123211135881 0.101081571204698 0.0737910310000387 0.0693569885766641 0.185873829409224
0.0768300610038213 0.0673561314940051 0.0708769005991632 0.0814052742887528 0.0593025576566772 0.158996162561561
0.0760841581448381 0.0381957624250301 0.0532110606774813 0.135716654963409 0.111560680228786 0.242473744627303
0.0515954518452104 0.0634194706893575 0.0869326624637861 0.10095252558812 0.0818757724202098 0.234385160087663
0.0690162126684596 0.0789775477124476 0.0832913970739302 0.101810730606288 0.125595926505041 0.217962427068249
0.0801073149563596 0.0924787778646848 0.0950650381483871 0.0942918331522372 0.0977263106945331 0.168827681074031
0.0594190424593169 0.06364973476464 0.0833235863891503 0.0670616274038537 0.0814233798158294 0.148692444135289
0.0663078672090509 0.0873567027885543 0.0764515913075529 0.084210070342878 0.0855907911109957 0.19148594874033
0.069794760692411 0.108249517209396 0.0915165986783395 0.0945737422198076 0.0892570418720261 0.19316203778609
0.0557441564764833 0.0735916356973517 0.1043062158197 0.0869122662182853 0.0882432042602782 0.202140474298145
0.0782547158566937 0.109179913682983 0.0816921230833041 0.104925395851056 0.0946701537735885 0.204457170528684
0.0713816200649339 0.0938668815192103 0.0845296648248308 0.081464255581142 0.0749307651963295 0.191577794911367
0.0749501822471055 0.115412011734103 0.103416586519489 0.130699816498406 0.108640133884537 0.166850375566898
0.0608953792370453 0.0840340260697294 0.0774303083847831 0.093413955369254 0.0815618715998995 0.201739870560368
0.0685758267528176 0.0994793509564721 0.0794238851894949 0.0850034500919586 0.0705331549826921 0.21056805193075
0.0689000604374506 0.0718364759542392 0.0681238864809067 0.0991656446497179 0.0914159798172824 0.184587353112623
0.0921625037635491 0.114328580063263 0.110394343708574 0.0927215705754132 0.0961663470760514 0.15707723389287
0.0824980458794478 0.102311307818349 0.092413021314583 0.0806487884242141 0.0854560163045802 0.234710156218853
0.0663385800105725 0.098996812550213 0.0876011747111479 0.0765648508437352 0.0876663453980606 0.205482021068261
0.0675131840772134 0.102958113862831 0.0711217897010241 0.0758036593242839 0.088571096288974 0.224222179883083
0.0843273764901609 0.1071692948549 0.0728495982570934 0.0785316018236273 0.0636274834583847 0.167664415785223
0.0668503656325709 0.0966886608371344 0.0971715605177396 0.102633334576769 0.108092119458283 0.178659707809208
0.071404088426508 0.0815192582796915 0.0992074440086715 0.0937768904806108 0.0961903914289534 0.232177898397297
0.063391707362816 0.0674236881517875 0.0678640608118933 0.103188796313688 0.0896457592048053 0.201479205893544
0.0911505328124215 0.108839391031881 0.116452284287601 0.0696654041994165 0.0757382203412032 0.189144365752343
0.0817312831441257 0.0977561231766342 0.0962320441999291 0.0759378056085878 0.0808071384312341 0.210456700735684
0.0756344035511197 0.106892451144393 0.10235277907277 0.0790821788114836 0.0737444637224077 0.212487571067533
0.0902526951557565 0.11473711849128 0.112156947159807 0.0728271475792959 0.0751362567569176 0.203966223422411
0.0892586659730883 0.105022274534802 0.065357366064712 0.0787699704165402 0.0646329292473365 0.189536624307925
0.0847615550019237 0.0918091840654913 0.0792233201288425 0.0850430665343842 0.084384979495974 0.20229046303527
0.00310820169167623 0.00318804280045956 0.00186460523939891 0.0025851392581841 0.00196907161825007 0.00259986920749856
0.0649944496260658 0.0623705903372479 0.0824271980940646 0.0821695415128792 0.101566914799314 0.198159759782912
0.0781412929917001 0.0795201429715721 0.0733362968816481 0.120453687483112 0.0799854703769436 0.221028812543192
0.0718725606639015 0.0608788008566536 0.103189281737299 0.0814986807474193 0.0718457615829392 0.199062763355368
0.0585581985635716 0.0973724300394127 0.101280467809857 0.101148312398161 0.0997293322578931 0.173809002660954
0.0664969567214462 0.0564958188301554 0.114208189399561 0.0977859473099002 0.0833312606893464 0.202863269547145
0.130022095206114 0.117387997576492 0.120579121892655 0.0853776008502049 0.0900787805103549 0.135158704303861
0.0844772105988999 0.119259677060508 0.0999706866123622 0.0664652590869797 0.0695888682538584 0.162589832931448
0.0666605192880241 0.089742147838468 0.0990931956415733 0.118378514298006 0.0885015317511329 0.175893533462523
0.0899558458434909 0.118745744216541 0.116861936716785 0.0851178245049379 0.0678675976411596 0.190699824743801
0.0603587217100689 0.0306628123409254 0.0481429794877345 0.106897506621439 0.0999096809715613 0.200539268811401
0.0653676486139354 0.0812373378421856 0.084874343021914 0.0752605439220952 0.0805272815073737 0.188656415552121
0.0874106835525937 0.0508491142060301 0.0857105409245543 0.0778799507415697 0.0880149609039692 0.162880847807777
0.0877857276031512 0.107149394257355 0.114953663180412 0.086565511993617 0.0821280656137462 0.178560475126971
0.0723035965825575 0.0718199092775307 0.0679746423179315 0.0746650184146499 0.0801063470987674 0.205111584774786
0.0709065897498895 0.0959674084814744 0.10015099194655 0.078553990041064 0.0777192962446374 0.19775505904962
0.0831228806839913 0.0879221189927842 0.0842070640838471 0.100429224437861 0.0879081864781035 0.258908262227076
0.0553237840438606 0.0753796875430075 0.0737571388550488 0.0853286483427857 0.0754926993629539 0.211145386699136
0.0954469740178423 0.0837056484724393 0.0810754739477255 0.0972670305459451 0.0892767416609839 0.183987054447826
0.0744656611468719 0.0675402905476845 0.0892180786050758 0.114395190779086 0.111067002601081 0.241066647573836
0.0881987854387715 0.112971011771111 0.0970335299268476 0.0856949954014714 0.114118946264536 0.196092348576783
0.0948981510837991 0.110150385032559 0.0802792909046506 0.0987645402188642 0.077728591157031 0.165994292347911
0.111632171327388 0.140587992948591 0.118776606398287 0.0710230921764747 0.0815428347117973 0.165752852234699
0.0705116036357523 0.121078676630637 0.107384800531647 0.0947986100910092 0.082101152044482 0.176680402306679
0.0665976946243251 0.093257074252888 0.0751718101156549 0.0700916414217571 0.0692162666077106 0.222181980266185
0.0857649083533894 0.107036344039671 0.134413737873688 0.082541895203371 0.0696648446474865 0.181410540148309
0.076523005642956 0.0453825412514938 0.0865518147172235 0.102242450581002 0.0907927147743443 0.240929734515224
0.0648905965858396 0.0778306630392049 0.0848805996818589 0.078712154155539 0.0733563751884222 0.184506641566718
0.0699767599567878 0.0917034268095023 0.0545976400831051 0.0851823172122248 0.0758221236486103 0.193782886762556
0.0848558602458949 0.0946775684894873 0.103163722859676 0.0886300462343053 0.0918790740938812 0.192034065038347
0.0753271241059295 0.0929876451634218 0.0690713446123998 0.0977140970761536 0.0732047870462935 0.194472846360911
0.0484541932931684 0.0932266948752927 0.0798109806652171 0.089034328740678 0.0770492785860179 0.184302010726135
0.0616101471904925 0.0607967782211906 0.0641879609317824 0.0980284632681618 0.0864381265330073 0.188399211279052
0.088115606775698 0.107996250326438 0.106015090621057 0.0926819239286684 0.0802584427311002 0.211722988358306
0.0701918416162593 0.0788655614021948 0.0946966482609719 0.101410641926852 0.085338078512417 0.222405207776989
0.0637014756242395 0.0764225794251865 0.0671927868694221 0.08378333340903 0.072923163270473 0.171464584864295
0.0662510442028273 0.100470273624181 0.0942710826722652 0.0839814980529554 0.0712083807619384 0.188707448936199
0.0685140319521448 0.0840103393065375 0.121679979803553 0.102998297568437 0.100940250724472 0.173865978974912
0.0853680605922784 0.107239185960656 0.098133589274457 0.0821247350382614 0.0735680235951014 0.197686727861317
0.0714264129114891 0.0515018506519739 0.0942767995342402 0.0914170749053549 0.0717303783590382 0.1877833274853
0.0883580715451944 0.117486041780624 0.0936035586690373 0.0761622010341643 0.071321352730054 0.177990896043986
0.0648367546118704 0.0755849328622053 0.0712735352860941 0.0765800275811209 0.0772192186219633 0.227355417286105
0.0871677732854785 0.092380375287602 0.0991645827113377 0.091673737438139 0.0833815071897261 0.198789039342744
0.0638655583205331 0.0796076618132049 0.100654050801761 0.0722472693670658 0.0672252849393856 0.177757174819243
0.101782626191304 0.0885339741529334 0.0794016533747146 0.129233380372401 0.105540150712226 0.16571193114742
0.0838972418619322 0.0949670905408025 0.0953967505714506 0.0734354766569984 0.0871613662970583 0.232562855363601
0.0573333208631633 0.0489409274129345 0.0645756345612031 0.101767488907099 0.0860596909466276 0.205470887453515
