"MLE_beta1" "MLE_beta2" "MLE_beta3" "MLE_sigma" "MLE_xi" "MLE_delta"
1.09002691086472 1.98993462027632 1.67745449956312 0.964669625052196 0.216856175350112 0.529966462348456
1.27157826243434 1.97154732062523 1.51543554588168 1.04131278873257 0.51277441942347 0.209304261105682
1.30715061738775 1.9642451045269 1.48433757199965 1.00987454650153 0.306403384418777 0.70368466704826
1.30828236261133 1.9576209625333 1.47030609291731 1.1227703180886 0.183659422514578 0.818954897700191
1.23861973206601 2.04987729794678 1.57577883587318 1.04766867176227 0.294587141773028 0.587489219501421
1.2418790171561 2.11887443125171 1.46416572871867 1.10941132140053 0.175873973939154 0.702895164572039
1.25832436575865 2.03106738664567 1.44778331949055 1.11080307023638 0.222539278629213 0.865097742545462
1.27673083961499 2.18196029385449 1.50337110355998 1.18617140820403 0.239320529342227 0.652959751895345
1.22666165341884 1.95430775102429 1.40512640672146 0.976649503497325 0.0521661340919465 0.803026494529064
1.33728066349628 1.96882755818402 1.34319864600959 1.00553605260344 0.210200672713152 0.61679740780054
0.79683941036091 2.05010440805167 1.75886632141496 0.906992984633108 -0.0648656229951268 0.730164494237261
1.45544589948792 2.16001041725111 1.43335343315165 0.934198335256251 0.530827635253578 0.235195259074498
0.836405366179165 2.10460140000098 1.50496335986472 0.847925689075126 0.164737255304919 0.24156261001175
1.28805344157096 2.11332285860227 1.32633323377126 1.04207690305958 0.275380839786 0.484128091564905
1.20440017991399 2.00712278530101 1.55730525183522 0.973837648255839 0.100931918112783 0.776780574715646
0.870284875802816 2.20980818202839 1.83807166188113 0.883607204874812 0.126906585288183 0.416904588386738
0.985462608458862 2.07267972927412 1.39720103930049 0.895459384711688 0.17848700047598 0.367806170751187
1.44065322168851 2.05361217947308 1.18108421569877 1.05107857771292 0.314521785304831 0.616673841209744
1.13959482017104 1.82659085331869 1.68137148422019 0.987185661070858 0.252944352511687 0.517286104298049
1.25641193852098 1.92622562457547 1.56082209571193 1.01655714343402 0.309346144591186 0.691518948931308
1.33279492146139 1.82776295189247 1.33954957693981 1.06965712500032 0.201156462929501 0.642945450620646
1.05905030814707 1.94332364440554 1.70377039528806 0.893348202644851 0.103163369672428 0.621986512945592
1.06428898383239 1.93115964607304 1.69519794900801 0.956139852535564 0.239617893852713 0.42336310143308
1.06370226210334 1.75644310922703 1.35640144896107 0.964236276484345 0.143187796172696 0.353026733315098
0.826329876401869 2.05950358918529 1.59200386546519 1.26173536185891 0.666993091568968 -0.120168362429912
1.19676519977122 1.92504879851753 1.51951872630249 0.980858956094893 0.0792367977329359 0.67574206957909
1.13260036285826 2.07484677553486 1.41029715755636 0.961413733340398 0.303033297833891 0.353203437159976
1.21096735214448 2.00514729293571 1.52372350684031 0.992500283659318 0.228830255173529 0.46271940587592
1.23392648257525 1.97579180770965 1.57142887313328 1.00412277802457 0.16623204909219 0.763372007697097
0.937889618473672 2.23328583236294 1.61185648815314 1.01167618320505 0.182657640925357 0.404836672462802
1.34426254004016 1.85975083998237 1.44009467948092 0.968107548490059 0.231551375834773 0.620331315557995
1.02990964318952 1.96748945050483 1.75197722946122 0.804018392472319 0.182178657559328 0.625015164879974
1.4627854766427 1.93084148584709 1.72602732165193 1.0511668456078 0.560209148781624 0.217193570370002
1.18301851642146 2.01755852867728 1.70770583384836 1.07342071550313 0.186448894334626 0.643557383053583
1.22855035994605 2.02590427005432 1.30864918627243 0.988745939253123 0.222253789286012 0.59243171344782
1.26675894530172 2.07350865984808 1.52548818577329 1.10345529767028 0.247087729761264 0.738959732081334
0.974820931676747 1.95941425644647 1.7645244616629 1.0095790191527 0.0445390392269218 0.618205669960172
1.00397523325875 1.77367459785743 1.47287814117731 0.808009359361837 -0.123795094482745 0.642751554930311
1.23099803566783 2.02392239093897 1.05618511957567 1.1244779025649 0.166190260856617 0.578062591495824
1.06590343755526 2.15460236195534 1.54496853000098 0.948753289616099 0.239889368825736 0.51074355060069
