"se_MLE_beta1" "se_MLE_beta2" "se_MLE_beta3" "se_MLE_sigma" "se_MLE_delta"
0.0323375619500257 0.045425175334951 0.0457157484843965 0.0367488713304394 0.066713281486744
0.0400462238337634 0.0527005905140824 0.0412831907131656 0.036893159524494 0.0710329828805962
0.0477788019901844 0.034991392300854 0.0542466460010868 0.0350809819294899 0.0708563670607445
0.0459166786921357 0.0517365632023895 0.0501690534683782 0.0365791119740539 0.0715543402177943
0.0477709268600339 0.0526591252447655 0.0533274080663278 0.0382633394216785 0.0698443857264733
0.0319498675302169 0.0512453006533599 0.0457705101523205 0.035967989174346 0.0736375810622933
0.0420038930661693 0.048465182812998 0.0465543707097933 0.0376103303341256 0.0747737961665663
0.0433674930217857 0.0458020446871122 0.0494286477482804 0.0369859179081157 0.0745541438686563
0.0437929103914585 0.0520059625052865 0.0541195129404193 0.0366924258797716 0.0689311958222267
0.0480936097218243 0.0546606756533861 0.0579891591606848 0.0374742588855189 0.0709041862947418
0.0243488525571992 0.0426408653871524 0.0419820273896124 0.0369244271664745 0.0708292579083904
0.0307615003815468 0.0462793562048512 0.0536522572738747 0.0361283883383826 0.0606649901096618
0.0486354041381038 0.0552256587244586 0.049129224707087 0.0389842558215953 0.071232077092818
0.0435897558603664 0.042726757026845 0.0488607876926857 0.032719984130815 0.0667983829782432
0.0412822417309216 0.0421316127322658 0.0364518573191972 0.0332856269033988 0.0680032540997036
0.0483000997734423 0.0582417673017692 0.0563209129888157 0.03756244728691 0.0692436388872308
0.0238412237361831 0.0458687696811357 0.0281911646066648 0.0360419084173348 0.0665070332345676
0.0254127387033934 0.036459919716 0.0400202721223016 0.0354208009014299 0.0659922498132664
0.0408578637842012 0.0486153338034205 0.0489669311522678 0.0309266489840917 0.0695602127436872
0.0457959617216607 0.0454212434463901 0.0516213410904093 0.0367549605935364 0.0720145650460061
0.0447642180367493 0.0402667838167687 0.0499078235802866 0.0336633628193661 0.071004023540105
0.0465346913070381 0.0555427253067105 0.0528405480703346 0.0377456606426071 0.0735923939427836
0.0474169575799208 0.0497866295821289 0.0522512332035086 0.0361462236224821 0.0738293763211099
0.0423788371536121 0.0484227683929208 0.0482503677416763 0.033128043095319 0.0717798493488203
0.0443612863272875 0.0503732149858003 0.0492628844346707 0.0345032303046337 0.068815046233326
0.0399772927609266 0.0437206173650613 0.0496527189714918 0.0368277019059111 0.0741105682523946
0.0472148115595903 0.0567666398510975 0.0526112367350361 0.0370439620511774 0.070183306809771
0.0305162773763572 0.0201561235684612 0.0297812897869867 0.0341019802608025 0.0677306877859002
0.0431269472513111 0.0473470144766845 0.048138798961788 0.0368419762555304 0.0731576822020226
0.0451782375746299 0.0451808204048063 0.0481246002840573 0.0367601612827409 0.0710358782994707
0.04518414343943 0.0492595751841328 0.0494582146432977 0.0358953318528628 0.0751536236822201
0.0463460822084046 0.0499289054124472 0.0514867044436302 0.0348234751607275 0.0725389149271866
0.0417976779042034 0.0512540269349843 0.0490414022344529 0.034402329282734 0.071220162689614
0.0443009580323787 0.0431164148815695 0.0491717737515874 0.0366608807354185 0.0728660683044053
0.0503131458204751 0.0564293758630334 0.0531197176375518 0.0375772566278716 0.0696950891128462
0.0447542528198574 0.0555971608721467 0.0500574955303465 0.0406604891165425 0.072547504579344
0.0415694629711202 0.0524862654335562 0.0470386867655257 0.0377961788739222 0.0781816261831823
0.0486681596908988 0.0534688485189246 0.0552321544556741 0.0409099304365315 0.0709999630656718
0.033624068000122 0.0369668937208727 0.0234493921670168 0.0332912405136258 0.0605658217017523
