"MLE_beta1" "MLE_beta2" "MLE_beta3" "MLE_sigma" "MLE_delta"
3.73402959478761 2.21281064969137 3.10474016734071 1.07256921448612 0.930320788683507
4.02274356904879 1.5010744204916 2.94974021361829 0.818482082355186 0.601076861744906
3.94985210907821 1.99633684144281 3.0505241730421 0.859468530127821 1.12682153683641
3.89577769355801 2.13896723885441 3.17573346260033 0.916427707057909 0.788067253390493
4.02807963829361 1.88494673532043 3.00586038301482 0.946390605052777 1.12985511418642
4.00920976920036 1.70834849624889 3.15328049567556 0.895802411820131 1.0617106039365
4.00031948399558 2.01515675024554 3.03177192229552 1.09170505583787 1.06580624350826
4.2209054707931 1.88510525615736 2.90393599678092 1.01207371959609 1.42324774386681
4.08842523672632 1.91202742921239 3.04683700926888 1.00533628768012 1.15029704259156
3.87289526867621 2.0793369881481 2.91279101341791 0.934146143875479 0.787695337133059
4.03379714256048 2.12079341604683 2.99803713909417 1.03256208632369 1.12055328266652
3.93336406239667 2.44940722306748 2.95178218179904 1.06950754214867 1.17836167331215
3.56871354571872 2.52822338776112 3.17481446979883 0.918258952046012 0.799762815182952
4.11302906029658 1.72747003455623 3.06180350948712 0.915127707510848 1.04288636315645
3.97950678284935 2.00057627732068 2.9920812967632 0.881851346962069 1.00236610694139
3.83354865340246 2.16861300320226 3.16839214913032 0.8937844576581 0.996739156975429
3.8493685939536 2.11320088054177 3.10089665930245 0.992094835339804 1.27523662040824
3.97171510130024 1.90689580817629 3.0554483321949 0.895122337031404 1.01577461909296
4.12825330298758 1.8254000653334 2.88047202294972 0.944451892778377 0.979153919821418
3.38746371574674 2.98336445596751 3.23625824733349 0.885508478735482 0.585828120871191
4.21921378870551 1.63259015485743 3.12695412971781 1.07061629986133 1.10749616841563
4.03092078965247 1.83782277423718 2.94138726674427 0.94769124482466 1.08597629207629
4.00202809725818 1.99792444801658 2.97010764963259 0.985162116401038 1.19263049032857
3.96910771138894 2.09115929063752 2.96589925402735 0.957257641199957 1.02979927527554
4.05372484298215 1.99226824882365 2.9967744848193 1.05044917305081 0.885299487137294
3.90793397897644 2.46807867337166 2.92539846379361 1.05812683707625 0.811698759868579
4.09595983103639 1.59094915556018 3.02012383618526 1.00276210320463 0.993453526373562
3.44335149891204 2.73388942800811 2.76503977361758 0.853124606193445 0.377539217316676
4.08022103160283 1.85321989035405 3.0716978579602 1.06366379355134 0.893091889996091
3.84116595712075 2.29877298874322 3.06826104785142 1.0965873710088 1.0090982309369
4.01409375092658 1.85659876291837 3.03216617746648 1.03956385285124 0.931243374842979
4.01079224376061 1.96220946656646 3.11644793217622 0.978298368009532 1.08433798533064
4.15762128034775 1.78321029975854 3.06826886433165 1.10346197235256 1.21461027238581
3.8119996753866 2.15133526785714 3.3965261774499 1.01698081068679 0.661738581143511
3.95844028371814 2.17430494706793 2.930117051776 0.991706739482635 1.19496578657634
3.8470591497289 2.20341954895742 3.02664202331093 0.927184578175388 0.858762882275749
4.05419105010945 1.63013370095826 2.8402732791644 0.864356759169974 0.85303075725324
3.87711652687998 2.10608874133157 3.20615804666793 0.982766841898275 1.06188580338262
4.05510856742681 1.80768573215804 3.05240687037042 0.995436309594339 1.00711094937273
3.88605835231081 2.21626695744128 3.1701005675402 1.10092966893144 1.11487770075083
3.62088609653082 2.81415679224142 3.0004928679635 0.888299189594939 0.745109871755233
3.8414412990971 2.46550784581596 3.29005814178094 1.16466233971062 0.995731314677971
3.87290110573507 1.99889604515059 3.11445395115602 0.937282197699214 1.05116532195177
3.9025912082982 1.88436357536917 3.04829506204696 0.987102267815511 0.872739083433878
3.81072468545496 2.15611355864828 3.1006951138251 0.899336237689615 1.11580872138943
3.81057043293937 2.41371385889607 3.11519374696377 1.01571200375414 1.00403508119945
3.35477188934466 2.723030401422 2.91975647402963 0.875024629183668 0.527456594042423
4.04991639375293 1.88797640520215 3.04690787977822 0.972491395437424 0.927008877777796
3.82384562394135 2.14573698987258 3.11038873575352 0.861316151343819 0.956444866292107
4.13035234208302 2.08509801807414 2.84487402682608 1.08073657226677 1.33888747125822
4.02488530723712 1.82273977996442 3.15989805826636 0.99190360995822 0.911532645364788
4.16819997276222 1.85461051599316 2.83780444058833 1.05643883253048 1.00658800221589
4.03310074133749 2.15297616670605 3.05927745485676 1.1062720874868 1.29027980064317
3.80205677686921 2.15733586584126 3.13366550849168 0.948434216556957 1.19277139259176
4.15911882555494 1.99805341584962 2.92595917017936 1.19473781397727 1.22686187018112
4.06585420282677 1.85872730226028 3.03227020439987 1.01728483511525 1.07099369584542
4.04135196367625 1.65598317984178 3.10364612823033 0.906511124918797 0.932191383310561
3.88867271832509 1.93061775783514 3.09164472264018 0.937686554950186 1.00714278061318
4.02269304405907 2.06039454996628 2.98040447610049 1.06744134059343 1.03584976121679
3.88930915043419 2.05940760717536 2.99186597329659 0.872933234044813 1.00896665329038
4.02852168612653 1.80162452055095 2.95138350937115 0.882178259224938 0.82290947550384
3.73770986705603 2.29683692762378 3.21502522975555 0.874830458397112 0.881918062108084
3.94552510662902 1.95189222154866 3.11294122277377 0.965617313542059 1.03053397293389
4.19451300834086 1.69912038629522 2.82062866495833 1.06991614101664 1.1956346370934
3.93475985633215 2.30048921883231 2.83191571017845 0.934914963106367 0.901635446391343
4.09534444018606 1.90595769430312 2.85350447975585 1.00734188836395 1.19893355384055
3.98811329327901 1.90404542473154 3.03494459533694 0.965923467346679 0.903419973983531
3.91222480311824 1.96481688317876 3.18057762123333 0.923224486590665 0.703575050741834
3.91805274334082 2.40348971833602 2.94549605124503 1.00543019208672 0.968025332006401
4.04612182254806 2.04761880802297 3.01497652990908 1.13298255003355 1.02999459568811
3.65941876589496 2.19469719104691 3.20323948309341 0.889017992175436 0.809222304489201
3.97556170243829 1.99156554457567 3.04002494085905 0.946964701660683 1.05896312371668
4.01398403765235 1.96794717553202 3.00709528987338 1.07068263153793 1.13837977058828
3.67332899784997 2.28293909193909 3.0682813772508 0.879678957723679 0.927442071906003
3.99790145062437 2.19154064714772 2.82546349174258 1.03561083080623 1.10980636673303
4.02582732365039 1.93731605608516 3.00676827199229 0.951434643575229 1.08721438148416
4.17218052431835 1.57959857747627 2.81294549200315 0.93998880555593 0.952028921251355
3.96921641696857 2.13545439028473 3.05358560646696 1.05799586508521 1.26495696896978
3.89163912335003 2.09789400150299 2.97708232653995 0.941899412002946 0.809167329556859
4.04744816218565 1.85640964722307 3.03733663099033 0.986619359554922 1.03116577998192
3.93890924576013 2.0688462339103 3.06345665081946 0.912440550043592 1.0616657340601
4.05084426488929 1.93733359571006 2.96964966086938 0.988006622844762 1.12640841289539
3.97434760328494 2.09322099051173 2.88884038702198 1.00833464097675 1.1157006199004
3.85734732680042 2.24352178979729 2.97994352758386 1.05207070326545 0.904250945966326
4.12926422005708 1.99451576250111 2.85361233381159 0.892546383592384 1.0811854088613
4.10877992660527 2.06926917150203 2.86520593839625 1.02023608173535 1.30365631038487
4.15168017959197 1.81710679384164 2.98824430538496 0.885118839661775 0.864506789035994
3.71186800281936 2.56922285299477 3.03752107495464 0.890153199991883 0.782959273339542
3.82892241601225 1.99020863829013 3.16983351854693 0.946576920873407 0.68520245214086
3.99919013183487 2.00736083634915 3.0276262156977 1.01371513801232 0.961390741751325
3.67339306299813 2.46589084040663 3.22054506497632 0.877337906180809 0.946375104518295
3.87612067508317 2.30417131476333 2.91376086531013 0.99960039676923 1.17971695686927
4.09805381685239 1.9739886240657 3.15586218608914 1.17671787449686 1.30442968869218
3.96924052260209 1.96426049066456 3.03879193399567 0.945619105215537 0.864083080113307
4.05305473905813 1.65460592465168 3.06456358649259 1.07185714682104 0.866479226486939
3.94294345451142 2.01953469837164 2.99279544778767 0.896201624080141 0.966864876706989
4.11977593027815 2.01279968054882 3.08453805854385 1.07243852731176 1.30435391884869
3.96525735064422 1.90411191848974 3.05706331382447 1.01357309678889 1.05580265920365
3.99638095283746 1.92607045825641 3.05471733336638 0.980727961698228 1.01436737460457
3.99750121366443 1.83506284816767 2.9605499636338 0.77904032566962 1.01260043808506
3.78634107694719 2.62892934483114 2.95361528699448 0.995763617717925 0.598376777580042
