"se_MLE_beta1" "se_MLE_beta2" "se_MLE_beta3" "se_MLE_sigma" "se_MLE_delta"
0.0660459051206211 0.120169176069986 0.0823246991425726 0.0961578275485337 0.155128582139078
0.0850392272325659 0.111355150179302 0.0589784448821731 0.0634284620100398 0.130908277783952
0.0861911812849934 0.11162832002585 0.0686735578496617 0.0676485175553243 0.166190245140739
0.0758535784299468 0.0685963223187043 0.0517461759071302 0.0678010981811138 0.152119176299439
0.086219914931204 0.111502006831898 0.0676611593248261 0.07589130446918 0.173051842201051
0.0862580222161906 0.117948325333265 0.0715913681916807 0.0718910281468697 0.156328788492369
0.0959504013826632 0.138369269851852 0.0802484451933339 0.0955632671491818 0.162586735235862
0.0720238502810175 0.113044758900888 0.0685145930656672 0.0857039691091201 0.193643591063406
0.0863104826262111 0.123037290224895 0.0715349180599729 0.0849043272850497 0.16035821640252
0.0606030244701693 0.0964221337909412 0.0779606009278463 0.074014647672882 0.144638284966216
0.0834592880848526 0.11257966005061 0.0679697475986765 0.0844399169813845 0.172253945956548
0.0795950645628197 0.113619747583972 0.0705133948856694 0.0925237444439332 0.175915495225585
0.0768978095887779 0.103199040419108 0.0673240442972245 0.0708787783159874 0.147219228874197
0.0864698653052673 0.118933268762437 0.0717392348699459 0.0739082225623198 0.162713528658005
0.0799421150010776 0.128445633393925 0.0770736119160233 0.074992042383754 0.1609004932919
0.0823268364780964 0.10876558175932 0.0613487966677687 0.068965553174789 0.165365925117768
0.0887921160513881 0.118354969826036 0.0703180886427815 0.0844826540055472 0.177914113532189
0.0857107096091153 0.10941683434957 0.0711182622399037 0.0735126912737941 0.162667332270503
0.0708620995256898 0.119668675469268 0.0787989450036863 0.0746499535654217 0.16115175378303
0.0899595808650159 0.0945714153104505 0.057740999518433 0.0668040677004473 0.131401319353729
0.0952482026802108 0.132357215673029 0.0791360593535337 0.0945898560530944 0.161940187915082
0.0912372240189714 0.117424404534196 0.0706982665998787 0.0784249006077629 0.160109512409269
